timestamps,open,high,low,close,volume,amount
2025-07-31 04:00:00,118466.15,118922.45,118287.63,118665.97,1907.96734,226269774.1707044
2025-07-31 08:00:00,118665.98,118770.07,118278.91,118371.25,1290.20631,152936940.9035217
2025-07-31 12:00:00,118371.25,118702.1,117807.35,118306.18,3457.28095,408607161.8415131
2025-07-31 16:00:00,118306.18,118879.14,116763.43,116785.79,4228.22018,497971783.6137045
2025-07-31 20:00:00,116785.78,116990.04,115500.0,115764.08,3818.7592,444054521.2965397
2025-08-01 00:00:00,115764.07,116052.0,114313.13,115648.03,5440.32571,627188117.3229619
2025-08-01 04:00:00,115648.03,115916.43,114633.18,115081.77,2952.50734,340199535.7987066
2025-08-01 08:00:00,115081.76,115340.0,114116.0,115305.65,3338.52917,383326052.9600484
2025-08-01 12:00:00,115305.64,116019.3,113988.47,115357.82,5325.96286,613558143.1486454
2025-08-01 16:00:00,115357.82,115695.52,113221.93,113328.68,4135.47502,472437940.4212518
2025-08-01 20:00:00,113328.67,114094.08,112722.58,113297.93,3294.30196,373558787.4997558
2025-08-02 00:00:00,113297.92,113921.94,113198.63,113909.86,1422.97261,161699096.2008179
2025-08-02 04:00:00,113909.87,114063.49,113469.43,113982.49,1674.39001,190562803.0443968
2025-08-02 08:00:00,113982.49,114040.29,113425.58,113787.12,1135.36227,129100147.2977649
2025-08-02 12:00:00,113787.11,113787.12,112802.31,112840.71,1922.72871,217838216.012316
2025-08-02 16:00:00,112840.7,113420.0,112003.0,112229.42,3414.70659,384611629.9707075
2025-08-02 20:00:00,112229.42,113058.82,112069.86,112546.35,1937.17409,218070844.8007189
2025-08-03 00:00:00,112546.35,113740.69,111920.0,113604.2,2106.5441,237947445.4764927
2025-08-03 04:00:00,113604.2,113720.16,113341.06,113700.0,764.27697,86778251.9467757
2025-08-03 08:00:00,113700.0,114260.31,113551.0,113862.18,1260.20877,143489089.1139783
2025-08-03 12:00:00,113862.19,114098.45,113579.69,113959.06,1131.56686,128830422.6483646
2025-08-03 16:00:00,113959.06,114799.97,113775.55,114313.19,1254.96509,143410319.1586365
2025-08-03 20:00:00,114313.19,114612.24,114066.56,114208.8,880.19867,100634505.8100063
2025-08-04 00:00:00,114208.81,115000.0,114107.6,114570.61,1525.00586,174778603.675855
2025-08-04 04:00:00,114570.61,114778.5,114148.58,114652.97,1221.27307,139739546.2641208
2025-08-04 08:00:00,114652.98,114750.0,114217.97,114493.09,1188.64494,136090921.963128
2025-08-04 12:00:00,114493.09,115466.0,114121.0,114826.0,2885.46126,331541729.6781156
2025-08-04 16:00:00,114826.01,115720.0,114732.65,114777.62,1843.11618,212273932.3241284
2025-08-04 20:00:00,114777.62,115340.0,114616.33,115055.03,1004.17785,115514140.157623
2025-08-05 00:00:00,115055.03,115127.81,114256.85,114256.85,1398.92395,160455069.0429971
2025-08-05 04:00:00,114256.85,114500.66,113725.72,113969.7,2125.54323,242804599.5489207
2025-08-05 08:00:00,113969.7,115096.73,113928.87,114827.07,1593.56232,182617724.5458636
2025-08-05 12:00:00,114827.07,114893.13,112650.0,112934.0,4590.4684,520992544.5331806
2025-08-05 16:00:00,112934.0,113763.27,112815.68,113616.52,1434.52074,162586192.6582227
2025-08-05 20:00:00,113616.51,114228.88,113304.0,114129.75,899.77214,102405616.8174319
2025-08-06 00:00:00,114129.75,114139.38,113400.0,113509.97,1061.53764,120724616.0697804
2025-08-06 04:00:00,113509.98,114417.02,113355.13,114227.91,1437.03071,163790419.8922004
2025-08-06 08:00:00,114227.9,114404.23,113727.57,114226.69,1280.29764,146061959.1246219
2025-08-06 12:00:00,114226.68,115515.09,113579.9,115413.87,3509.68013,402461313.7696326
2025-08-06 16:00:00,115413.87,115716.0,114942.18,115259.99,1727.95909,199297200.1458815
2025-08-06 20:00:00,115260.0,115260.0,114793.01,114992.27,744.64797,85693223.8568016
2025-08-07 00:00:00,114992.27,115185.58,114404.22,114546.03,1192.91433,136893563.3905805
2025-08-07 04:00:00,114546.03,114876.79,114259.0,114787.99,1290.96115,147895974.1728116
2025-08-07 08:00:00,114787.99,116828.93,114787.98,116519.53,3698.10885,428983588.2895274
2025-08-07 12:00:00,116519.54,116791.11,116035.84,116689.81,2746.73177,319832114.2908285
2025-08-07 16:00:00,116689.8,117520.0,115632.31,117461.98,2735.62556,319105083.7385784
2025-08-07 20:00:00,117461.99,117621.0,117012.0,117472.01,1804.22097,211743973.9546006
2025-08-08 00:00:00,117472.02,117630.0,116694.28,116737.35,2393.91974,280094573.2187749
2025-08-08 04:00:00,116737.34,116973.3,116401.0,116817.19,1456.27491,169950858.203494
2025-08-08 08:00:00,116817.2,116914.6,116317.08,116891.51,1108.98011,129319112.1239561
2025-08-08 12:00:00,116891.51,117271.73,115878.71,116207.69,2540.81848,296106840.9068547
2025-08-08 16:00:00,116207.7,116900.0,116006.14,116453.41,1690.79713,196921937.4615741
2025-08-08 20:00:00,116453.41,116980.0,116319.06,116674.74,854.52241,99806456.8096009
2025-08-09 00:00:00,116674.74,116750.0,116299.13,116384.01,971.89236,113203432.9672954
2025-08-09 04:00:00,116384.01,116980.0,116339.45,116756.01,2021.01259,235841895.5656486
2025-08-09 08:00:00,116756.0,117944.05,116756.0,117110.0,2353.3714,276230205.1416179
2025-08-09 12:00:00,117110.0,117238.04,116700.01,116892.47,1382.66437,161718872.4567921
2025-08-09 16:00:00,116892.48,116947.16,116500.0,116535.69,1202.78039,140321045.5533564
2025-08-09 20:00:00,116535.68,117021.16,116359.89,116462.25,1582.41033,184522150.0176618
2025-08-10 00:00:00,116462.25,118500.0,116460.63,118500.0,3892.68324,458141314.9579617
2025-08-10 04:00:00,118500.0,118741.77,117466.34,117808.3,2444.0838,288972231.8447777
2025-08-10 08:00:00,117808.29,118500.0,117608.01,118330.58,1506.32503,178057964.9020502
2025-08-10 12:00:00,118330.58,119113.94,118232.0,118815.0,2809.2276,333423155.3863983
2025-08-10 16:00:00,118815.0,118944.24,118433.8,118663.08,995.85812,118153752.2499177
2025-08-10 20:00:00,118663.09,119311.11,118074.99,119294.01,2674.59294,317450328.5307652
2025-08-11 00:00:00,119294.27,122164.07,118972.59,121728.99,7626.19257,921251175.8150796
2025-08-11 04:00:00,121729.0,122335.16,121466.08,121537.15,4279.8879,521892702.9301928
2025-08-11 08:00:00,121537.14,121823.0,120286.4,120561.54,4216.26732,510604967.3367356
2025-08-11 12:00:00,120561.53,120667.54,119382.91,120314.4,5236.26223,628472627.8636091
2025-08-11 16:00:00,120314.4,120794.05,118604.17,119089.3,2812.92272,336787744.58204
2025-08-11 20:00:00,119089.3,119172.63,118050.11,118686.0,2322.80155,275602312.0134122
2025-08-12 00:00:00,118686.0,119275.46,118593.39,118857.7,1894.63528,225356508.4632264
2025-08-12 04:00:00,118857.7,119158.06,118424.86,118986.72,3135.38397,372768949.6490242
2025-08-12 08:00:00,118986.73,119058.43,118207.47,118522.22,2346.379,278386557.9451865
2025-08-12 12:00:00,118522.22,119960.0,118285.0,119933.0,4914.05441,585444041.2797805
2025-08-12 16:00:00,119933.0,120192.1,119172.62,119665.27,2309.07117,276328760.2588431
2025-08-12 20:00:00,119665.27,120324.43,119485.84,120134.08,2120.5851,254477655.989197
2025-08-13 00:00:00,120134.09,120192.1,119094.28,119482.01,2361.00135,282270802.4744337
2025-08-13 04:00:00,119482.01,119820.18,118920.92,119580.4,2324.10298,277456148.0129565
2025-08-13 08:00:00,119580.4,120732.94,119446.22,120570.41,3213.18528,386212646.9082606
2025-08-13 12:00:00,120570.41,122200.0,120106.02,120920.62,7228.67197,876073760.9301012
2025-08-13 16:00:00,120920.61,122839.47,120920.61,122744.21,4167.90157,508080168.0594111
2025-08-13 20:00:00,122744.22,123667.79,122298.2,123306.43,3915.20787,481487822.0022943
2025-08-14 00:00:00,123306.44,124474.0,123250.5,123337.14,3481.676316,430716617.8780969
